TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;3,17;;-4,38;0,30;0,12;51,25;5,91;-5,74;4,25;9,28;5,01;0,35;0,25;1,72;-0,15;1,44;-6,84;-2,68;4,34;0,39;0,61;0,47;4,57;;2.784.130,09;10,60;-0,72;0,03;410.621.776,40
SEQL3;2,08;;-4,23;0,54;0,15;18,55;4,44;-3,74;3,56;11,31;7,79;1,19;0,16;-57,86;-0,22;0,99;-12,87;-3,53;6,43;0,27;0,73;0,94;;;20.948.674,95;3,82;-0,49;0,00;289.604.105,02
SGPS3;1,11;;-0,12;0,09;0,02;24,22;-7,26;-31,40;-0,53;-8,17;-7,63;1,32;0,04;0,80;-0,03;1,07;-75,00;-15,48;-6,85;0,21;0,79;0,49;-5,73;;154.714,16;12,12;-9,09;0,00;56.000.000,00
SHOW3;1,63;;-9,93;0,96;0,21;25,51;10,41;-3,37;3,21;0,63;-2,66;-0,80;0,33;3,23;-0,56;1,12;-9,68;-2,16;14,42;0,22;0,78;0,64;-12,84;;565.577,84;1,70;-0,16;0,12;112.579.090,43
SHUL3;111,89;0,23;148,11;35,87;16,87;25,96;18,11;12,90;105,51;47,96;0,49;0,17;19,10;40,60;-49,46;2,71;24,22;11,39;17,84;0,47;0,53;0,88;24,97;46,42;;3,12;0,76;3,69;17.989.487.874,68
SHUL4;4,40;6,38;5,82;1,41;0,66;25,96;18,11;12,90;4,15;47,96;0,49;0,17;0,75;1,60;-1,94;2,71;24,22;11,39;17,84;0,47;0,53;0,88;24,97;46,42;1.959.077,86;3,12;0,76;0,15;17.989.487.874,68
SIMH3;7,50;8,71;13,04;1,13;0,10;31,13;20,99;1,98;1,23;6,52;5,29;4,85;0,26;0,82;-0,16;1,55;8,64;0,78;11,17;0,09;0,91;0,40;27,43;;32.106.419,51;6,66;0,58;-0,32;6.288.059.317,50
SLCE3;45,59;6,08;7,64;1,98;0,65;32,65;26,12;13,22;3,87;4,76;0,89;0,45;1,01;3,96;-1,24;1,53;25,89;8,52;24,38;0,33;0,67;0,64;34,00;28,89;72.227.398,81;23,05;5,97;0,40;9.705.588.548,31
SLED3;7,22;;0,46;-0,19;0,51;43,87;290,32;184,23;0,29;0,38;0,32;;0,84;-0,65;-0,72;0,27;-41,73;111,56;-85,85;-2,67;3,67;0,61;-44,82;;20.340,35;-37,97;15,84;0,00;13.186.328,71
SLED4;0,93;;0,06;-0,02;0,07;43,87;290,32;184,23;0,04;0,38;0,32;;0,11;-0,08;-0,09;0,27;-41,73;111,56;-85,85;-2,67;3,67;0,61;-44,82;;55.744,07;-37,97;15,84;0,00;13.186.328,71
SMFT3;13,32;;-87,32;1,86;0,65;20,36;-0,93;-8,27;-772,91;-826,17;-49,20;0,12;7,22;4,42;-0,92;2,01;-2,13;-0,74;-0,13;0,35;0,65;0,09;7,71;;28.844.558,77;7,18;-0,15;1,02;7.849.784.249,71
